Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123
5.1,-15.022527978612482,-39.16631529308175,-6.9850687350025815,-11.879181155100216,-212.21596597559417,3.617061304492694,-10.946085534721664,-0.19368610507287798,-15.216593329835913,-12.986074403867779,6.525352202667857,-2.1785813618600383,-2.291401308981996,-4.605959422926505,6.271859135603059
5.2,-15.110567972773305,-37.43310074715326,-6.823910218065359,-11.548340998631025,-204.5312533938801,3.906569330380645,-10.180554802261046,0.022143955715242747,-14.979720241346032,10.286185285439409,5.531452917917779,-2.4080310537916993,-2.4196112475624965,-4.785411721342383,5.943289122649965
5.3,-14.714552417051602,-35.247415965856135,-6.468801679156588,-10.030971945611231,-197.04993368171765,3.995273816718182,-10.031892077968735,-0.09877888671898916,-13.676276526401745,9.046982593123625,6.722901337436621,-2.2761479158448488,-2.7304042193965774,-4.563417665100024,5.391071275636875
5.4,-14.395713064313815,-30.5606467987456,-6.849941497296417,-10.870597630013826,-189.3657568976549,3.956126433651086,-9.87369439685559,0.4631521228937494,-13.568465574813617,-2.6810862737445005,7.1038868253035865,-2.2366829577181875,-3.295223521290202,-4.531868440954767,5.159055439717065
5.5,-14.892199592197718,-30.810156048180012,-6.646303518457252,-10.240415241815153,-182.3069527989418,3.953766562096188,-9.679670665454605,-0.5237239796682713,-13.555303951825742,8.879509874573767,6.009857732939004,-2.472797731032779,-3.162311025585879,-4.617199381636475,4.338454444801428
5.6,-14.726052845704011,-29.298660928418034,-6.487743104917072,-9.928926343464006,-175.05563810462635,4.027175645115136,-9.365886392436966,-0.7102776765151866,-12.797587625291763,-6.051523389252777,5.499883119279989,-1.9712157251133178,-3.4868837611529013,-4.2965302826510925,3.8736168956204775
5.7,-14.625207729169341,-29.173263977172425,-6.316874825754567,-9.666467570660856,-168.0035408178382,4.143621636061614,-8.743897809188422,-0.04160334918277009,-12.246042766359377,8.161835749146395,6.287042396128175,-2.692933383936026,-3.5627179938222326,-4.374879723036015,3.3617517926779534
5.8,-14.089172886819755,-28.41121795702582,-5.7332008515362745,-9.583479331465156,-161.33423376773197,3.205403023371737,-8.541676880775299,-0.41164288950177763,-11.488473482583526,-7.109408741006337,5.976875722405875,-2.561319775364602,-3.4359571944418317,-4.4265491962014405,2.9792438492175357
5.9,-14.476247640723301,-26.994162820075324,-6.392689939504788,-9.520816024291616,-154.44849305014208,3.6109844866428276,-8.818336192943082,-0.731559668697936,-11.697567356361779,6.460045439818526,4.615041821253875,-2.6789609474836986,-3.6902819268205675,-4.380270835801088,2.5867556656651445
6.0,-13.935600365975034,-27.118750228760373,-5.985462142262801,-9.157917171229192,-148.10083606731595,3.4468439530251587,-8.61777867248242,-0.09068856774244782,-11.751444471199221,5.909777275891059,4.9117588845471705,-2.6665652773500117,-4.3034624723141945,-4.409513913721238,2.2445015839116422
