Time (s) Adjusted,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123
6.4,-3.1582062394304007,-3.7042286849059494,-8.07888422112068,-17.064076759158496,-2.7760892370878807,-22.24571689055591,-0.5589055031768488,-0.6822434645394182,-4.935004207175037,0.8596251272655273,-2.4095071790232083,6.869245145527412,-9.00110289575245,2.1441719774281687,-9.978881342801776
6.5,-2.4601989483849227,-3.948854859251412,-7.894515038648359,-16.520949526132434,-3.1140541635734067,-21.442884175357378,-0.7696319023741935,0.0977391079275991,-4.8286414632287995,0.9538847682504823,-2.27178024053499,6.64304795120573,-9.029952950912435,1.5051263117175147,-9.507328389122424
6.6,-2.5905801844397356,-3.252633712333754,-8.022635854103486,-16.14514998818969,-3.237839805128365,-21.01323769957311,-1.2422932819247912,-0.08363488153532472,-4.868454905561203,0.8103273465726275,-1.9326340656584646,6.329684011131807,-8.814529978255898,0.9875360942158853,-9.449510974381774
6.7,-2.773933304318761,-3.882362882238649,-8.373992622882763,-15.677240472366154,-3.339049759322279,-20.506214126980943,-0.5480307468119445,-0.5050365371708558,-4.500502819987224,0.9109031530105245,-1.470684989345962,6.255801782593021,-8.686228605762576,0.9884563932170778,-8.41997503684037
6.8,-1.923909062458943,-9.787822964762025,-8.23835657068156,-14.765176050758214,-3.307633596137727,-20.119007811918223,0.16741443376462328,-0.1175232904269281,-4.96888606865379,1.1909213618516468,-1.9544682043714694,5.929698681420964,-8.611797866209209,0.35334114009650364,-8.49166875783253
6.9,-2.2050602288661345,-10.01222946798,-8.58576718696531,-14.855672975591002,1.653908707454665,-19.830416183421185,-0.28769420295502357,-0.43202504169470934,-4.478238407331966,1.2118850898318598,-2.055375887820155,5.662370104978395,-8.93594322803363,0.9750279155272139,-8.8512226339398
7.0,-2.476002446360451,-3.9418680832670177,-8.133862997592356,-13.951406984899016,1.2171807150400689,-19.336344240158596,-0.5123693126678113,0.10788945014284135,-4.749264285340555,1.7673750298140547,-1.8495084122687082,0.6391397254975688,-9.409251947599437,1.459615184961681,-7.756462203129168
7.1,-2.457329605016346,-3.5571650458364026,-8.30891188035116,-12.874868325577584,1.1415096694389,-18.398010647513523,-0.7631959179260868,-0.1387623548095629,-4.784439616867119,1.12291037101539,-1.8767718254091061,5.526026139360047,-9.49908133692794,0.7933308537785422,-8.242701069845673
7.2,-1.7362043851102964,-3.772316734079265,-8.262337093558134,-11.824321238203709,1.0660765046484713,-18.198155042883148,-1.3914718168366988,0.047190184422821524,-4.426313421211601,0.9042858376384473,-1.519542302616391,0.3674185692990992,-9.58501684160196,0.7175880806389365,-7.955352612593053
7.3,-2.039045341682826,-3.865109219970698,-8.554264442968346,-11.350066269804863,1.5480833822687536,-17.971970403239443,-1.5183154866870403,-1.0597666730682862,-4.476565244746385,1.2143807888452258,-1.6639852075486052,0.02785403248839291,-10.008174881491097,0.6750329458561737,-7.518816404337855
7.4,-2.554131602483632,-3.3728623103034607,-8.278030688343451,-11.037212688125482,1.3717073900724266,-18.402787041187675,0.13950613474031925,-0.8623384192945505,-4.2223461530691715,1.2057769486973893,-1.5543384027769651,0.2681412846000262,-9.58938747793677,1.2809114870823848,-6.8746771861366724
